@relation Dataset_T2_6d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute label {0,1}

@data
0.199451,0.61113,0.196704,0.500291,0.229408,0.594498,0
0.242035,0.634352,0.242036,0.568764,0.238658,0.535453,0
0.390824,0.940196,0.374469,0.389421,0.353106,0.45285,0
0.311296,0.855353,0.321901,0.340895,0.551132,0.366461,0
0.329953,0.850316,0.303436,0.426629,0.345052,0.228079,0
0.252552,0.713466,0.349889,0.34414,0.34711,0.383585,0
0.288728,0.679138,0.451686,0.291223,0.192754,0.571999,0
0.244566,0.80121,0.435334,0.263424,0.75234,0.466045,1
0.198009,0.75889,0.387316,0.325971,0.783078,0.434734,1
0.128809,0.672227,0.228663,0.472362,0.826091,0.478583,1
0.112247,0.629409,0.465308,0.205581,0.780518,0.40448,1
0.379932,0.934455,0.26686,0.492826,0.410383,0.492235,1
0.359675,0.942886,0.25548,0.451466,0.519731,0.332198,1
0.340777,0.895963,0.139803,0.592828,0.356427,0.446603,1
0.31043,0.844843,0.20148,0.490591,0.512416,0.344215,1
0.283989,0.77051,0.244011,0.501935,0.394226,0.538287,1
0.351788,0.864294,0.339445,0.390095,0.472626,0.714138,1
0.304743,0.801927,0.243826,0.492125,0.437509,0.670791,1
0.239828,0.755746,0.151564,0.602303,0.488434,0.577133,1
0.206098,0.715667,0.262159,0.448369,0.555624,0.545912,1
0.241734,0.729296,0.289114,0.476588,0.518383,0.575267,1
0.273073,0.854694,0.158582,0.464102,0.61821,0.411266,0
0.224205,0.788026,0.066979,0.619639,0.585364,0.36582,0
0.211677,0.780601,0.035052,0.651118,0.612714,0.352342,0
0.209251,0.785535,0.049968,0.643918,0.6397,0.440375,0
0.194609,0.70564,0.131901,0.573452,0.430761,0.599321,0
0.40821,1,0.467385,0.265323,0.610734,0.381573,0
0.376319,0.968588,0.371891,0.382542,0.505688,0.132747,0
0.328831,0.889467,0.317043,0.397087,0.431227,0.256151,0
0.294671,0.838454,0.287602,0.442475,0.431031,0.149524,0
0.30479,0.809472,0.341478,0.4202,0.39827,0.420899,0
0.249166,0.736618,0.394504,0.266052,0.354385,0.25509,1
0.211816,0.639104,0.275546,0.445675,0.241335,0.355847,1
0.182798,0.583899,0.314143,0.372677,0.219438,0.376991,1
0.137028,0.517156,0.345027,0.320281,0.229138,0.46934,1
0.380426,0.893154,0.395947,0.326317,0.36503,0.308546,0
0.339306,0.837091,0.34772,0.391137,0.311708,0.238463,0
0.289036,0.800374,0.279075,0.449929,0.442159,0.046464,0
0.261416,0.793486,0.309634,0.405893,0.477913,0.129791,0
0.253565,0.749696,0.408325,0.23797,0.470366,0.14237,0
0.212712,0.731291,0.356027,0.280687,0.561535,0.248683,1
0.202469,0.674066,0.321882,0.326998,0.491073,0.514516,1
0.151631,0.600036,0.265587,0.390741,0.433758,0.380776,1
0.105391,0.517444,0.348787,0.304024,0.373131,0.479972,1
0.1697,0.521114,0.538633,0.15748,0.26769,0.436779,1
0.34432,0.916474,0.36483,0.319421,0.578046,0.873556,0
0.312065,0.870856,0.305701,0.379184,0.565485,0.783634,0
0.238103,0.801488,0.252793,0.376158,0.713497,0.505054,0
0.251366,0.810717,0.201736,0.426581,0.747688,0.667427,0
0.19927,0.695492,0.356421,0.256589,0.739358,0.617971,0
0.391495,0.841507,0.73692,0.79583,0.449403,0.254344,0
0.384081,0.805708,0.713003,0.83142,0.413815,0.231827,0
0.361968,0.769053,0.637353,1,0.420097,0.255142,0
0.336338,0.746593,0.705814,0.852006,0.447105,0.290267,0
0.320052,0.669389,0.739275,0.836383,0.393073,0.275875,0
0.395848,0.928592,0.373417,0.332329,0.395759,0.621591,1
0.341798,0.851763,0.3248,0.352017,0.389898,0.457208,1
0.301799,0.847207,0.246091,0.427433,0.533318,0.273748,1
0.23979,0.7796,0.25409,0.415297,0.507271,0.192811,1
0.232139,0.740478,0.342377,0.338502,0.546189,0.292823,1
0.276301,0.838529,0.384967,0.250102,0.596951,0.431441,0
0.211174,0.750771,0.330641,0.241914,0.603403,0.549326,0
0.128308,0.645924,0.296561,0.275415,0.648688,0.466044,0
0.117477,0.586355,0.335531,0.268242,0.60711,0.452527,0
0.094484,0.49641,0.41087,0.231039,0.524929,0.610375,0
0.324277,0.911039,0.439035,0.250794,0.680929,0.41789,0
0.265116,0.840064,0.299189,0.33561,0.674154,0.434385,0
0.203959,0.786224,0.247715,0.357008,0.683814,0.360892,0
0.178348,0.736618,0.241784,0.357074,0.621902,0.349265,0
0.22884,0.716653,0.38599,0.260649,0.480273,0.441477,0
0.335557,0.94611,0.368025,0.322937,0.55842,0.240264,0
0.273592,0.863151,0.261567,0.38814,0.586352,0.389724,0
0.243761,0.829063,0.197488,0.481376,0.547412,0.350385,0
0.191827,0.726368,0.197975,0.491887,0.443906,0.492821,0
0.237024,0.724785,0.318445,0.432277,0.411072,0.414234,0
0.365881,0.942077,0.468387,0.231857,0.604762,0.532871,0
0.298977,0.824622,0.441552,0.190471,0.577381,0.512998,0
0.292479,0.804756,0.362586,0.295343,0.4136,0.514027,0
0.417127,0.923008,0.370462,0.379998,0.338172,0.643251,0
0.413399,0.93376,0.392207,0.347792,0.333036,0.57412,0
0.329863,0.83728,0.371816,0.346319,0.366895,0.355707,0
0.208464,0.660188,0.401152,0.285205,0.324171,0.309626,0
0.207532,0.58603,0.529202,0.123757,0.160886,0.375146,0
0.189643,0.611375,0.280682,0.379708,0.24574,0.562931,0
0.15324,0.611457,0.187433,0.459604,0.275777,0.527849,0
0.107215,0.549497,0.175443,0.471632,0.272307,0.384738,0
0.05823,0.505006,0.273302,0.281935,0.413673,0.344109,0
0.236854,0.668624,0.324337,0.39007,0.300571,0.660854,0
0.283239,0.872309,0.30424,0.311198,0.695846,0.632753,0
0.256467,0.870399,0.283975,0.385076,0.678796,0.526724,0
0.206967,0.810305,0.187887,0.475517,0.726722,0.568175,0
0.109925,0.648362,0.20145,0.385255,0.591277,0.391525,0
0.119212,0.655699,0.246082,0.371885,0.637566,0.516965,0
0.371049,0.695662,0.5662,0.185999,0.204522,0.485039,1
0.355961,0.625301,0.56509,0.202195,0,0.39293,1
0.316694,0.63774,0.394963,0.355655,0.237841,0.348322,1
0.323105,0.625217,0.493826,0.221322,0.292323,0.498673,1
0.288675,0.848848,0.417123,0.327593,0.563511,0.118754,1
0.217616,0.765509,0.328252,0.351823,0.545461,0.128965,1
0.200683,0.695973,0.256033,0.399602,0.494457,0.344355,1
0.148161,0.606645,0.29739,0.383431,0.367151,0.285938,1
0.197674,0.656577,0.421975,0.297433,0.443381,0.387279,1
