@relation Dataset_T2_16d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.620251,0.623748,1,0.371788,0.64301,0.392056,1,0.375856,1,0.217003,0.375631,0.773698,0.629001,0.345095,0.249112,0.127913,0
0.587923,0.653001,0,0.386822,0.668417,0.366386,0.409894,0.351231,0.273273,0.234951,0.351021,0.753596,0.661068,0.337286,0.281314,0.147824,0
0.605501,0.636598,0,0.381276,0.65442,0.34003,0.291873,0.362073,0.215135,0.2967,0.361855,0.704523,0.651936,0.329916,0.340716,0.222243,0
0.503357,0.713434,0,0.432161,0.723493,0.361461,0.155076,0.294067,0.148649,0.16543,0.29389,0.832625,0.668612,0.397795,0.135964,0.130865,0
0.55926,0.670067,0,0.39346,0.684504,0.338847,0.173852,0.335502,0.0601,0.173073,0.3353,0.828868,0.65478,0.340057,0.185862,0.141326,0
0.153584,0.930807,0,0.757448,0.661436,0.335383,0.161429,0.2169,0.021637,0.211565,0.361276,0.794334,0.895894,0.832218,0.26002,0.113714,0
0.192557,0.895313,0,0.817422,0.752246,0.232911,0.195311,0.188994,0.099099,0.241835,0.264033,0.756018,0.917129,0.832403,0.280213,0.149813,0
0.42278,0.769997,0,0.482602,0.774665,0.242974,0.195311,0.247431,0.243243,0.100447,0.247283,0.90977,0.710021,0.421388,0.065476,0.09443,0
0.417228,0.764265,0,0.543661,0.771309,0.261076,0.225487,0.250258,0.080236,0.173527,0.250108,0.832858,0.727026,0.489978,0.182515,0.089187,0
0.418638,0.75761,0,0.568294,0.766687,0.26737,0.291873,0.250746,0.127928,0.150919,0.250596,0.841323,0.715777,0.534103,0.168538,0.06319,0
0.420135,0.76386,0,0.51433,0.771025,0.224891,0.262368,0.245984,0.091592,0.218459,0.245837,0.785885,0.72793,0.437083,0.206637,0.127491,0
0.425045,0.764083,0,0.49147,0.770403,0.207296,0.178067,0.248233,0.07676,0.331116,0.248084,0.675972,0.736138,0.394508,0.298056,0.261148,0
0.454352,0.744683,0,0.498746,0.752537,0.314964,0.178067,0.265599,0.065637,0.145175,0.265439,0.864542,0.700784,0.467604,0.107708,0.13,0
0.417999,0.756472,0,0.56707,0.76567,0.249848,0.213193,0.254732,0.138694,0.139735,0.25458,0.873744,0.716371,0.534698,0.12402,0.111802,0
0.467129,0.7256,0,0.508275,0.736886,0.290357,0.291873,0.283014,0.127928,0.133213,0.282844,0.878639,0.700536,0.463136,0.121121,0.057677,0
0.507795,0.682994,0,0.540123,0.628257,0.406277,0.241293,0.351567,0.110131,0.163049,0.388439,0.850656,0.712991,0.580399,0.171243,0.058963,0
0.483825,0.709718,0,0.459218,0.645026,0.397316,0.409894,0.332085,0.273273,0.219362,0.372552,0.790438,0.724627,0.448753,0.19256,0.176276,0
0.67232,0.579768,0,0.304388,0.604616,0.50528,0.557421,0.408591,0.454955,0.133604,0.408346,0.868501,0.546422,0.3202,0.111313,0.183886,0
0.636113,0.608036,1,0.358852,0.630046,0.382534,1,0.380675,1,0.171593,0.380447,0.834757,0.597779,0.342843,0.187466,0.081174,0
0.609357,0.621999,1,0.415017,0.643623,0.354539,1,0.368332,1,0.074246,0.368111,0.933606,0.612207,0.413937,0.134475,0.082548,0
0.620912,0.622108,1,0.391895,0.641881,0.426631,1,0.37426,1,0.141141,0.374036,0.858513,0.622831,0.391538,0.168968,0.079275,0
0.59315,0.626791,1,0.418937,0.612648,0.474768,1,0.374298,1,0.15058,0.391649,0.842141,0.642661,0.452787,0.16239,0.090011,0
0.573617,0.654452,1,0.425594,0.671627,0.395444,1,0.344099,1,0.038713,0.343893,0.969115,0.646816,0.414537,0.059097,0.110501,0
0.714373,0.547692,0,0.269052,0.575666,0.458364,0.409894,0.438617,0.515516,0.163169,0.438354,0.833263,0.544176,0.266519,0.16242,0.074032,0
0.688,0.5751,0,0.282682,0.598947,0.432874,0.557421,0.417935,0.454955,0.116724,0.417684,0.876823,0.574932,0.260376,0.129305,0.032348,0
0.6197,0.626198,1,0.370185,0.645043,0.370523,1,0.370914,1,0.111623,0.370691,0.889502,0.621556,0.35195,0.134587,0.096012,0
0.691094,0.56093,1,0.296182,0.588275,0.424404,1,0.426655,1,0.181569,0.426399,0.824768,0.573035,0.266492,0.198977,0.07869,0
0.690251,0.528909,1,0.399334,0.543659,0.565824,1,0.439976,1,0.105204,0.451069,0.892712,0.532537,0.494166,0.092725,0.126298,0
0.626119,0.564068,1,0.522553,0.566294,0.520089,1,0.413404,1,0.105725,0.429974,0.896769,0.587688,0.642744,0.120175,0.002072,0
0.64488,0.557334,1,0.448694,0.488356,0.604164,1,0.459778,1,0.135863,0.513262,0.861644,0.576126,0.595069,0.140984,0.052889,0
0.709387,0.545322,1,0.327495,0.576119,0.479981,1,0.413091,1,0.146532,0.412843,0.836258,0.564932,0.337042,0.164094,0.11991,0
0.761148,0.508889,1,0.223454,0.542267,0.519401,1,0.454983,1,0.158849,0.45471,0.830914,0.493693,0.239335,0.09618,0.081772,0
0.754274,0.513267,1,0.232039,0.545281,0.505822,1,0.47188,1,0.063217,0.471597,0.947691,0.514394,0.233039,0.077557,0.116338,0
0.633855,0.611854,1,0.364272,0.632651,0.378817,1,0.385249,1,0.099829,0.385018,0.913211,0.615592,0.341664,0.130913,0.098856,0
0.711859,0.546342,0.000001,0.308154,0.574977,0.457041,0.557421,0.440066,0.454955,0.148341,0.439802,0.855877,0.567646,0.305826,0.182107,0.053542,0
0.729821,0.534641,1,0.260301,0.564136,0.430409,1,0.450606,1,0.068935,0.450336,0.943728,0.552214,0.236132,0.096996,0.05457,0
0.766288,0.500634,0,0.190415,0.534761,0.511552,0.409894,0.475776,0.273273,0.125201,0.475491,0.87862,0.492005,0.179489,0.091073,0.040138,0
