@relation Dataset_T2_40d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute log_sigma_3_0_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_3_0_mm_3D_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_3_5_mm_3D_firstorder_RootMeanSquared numeric
@attribute log_sigma_4_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glcm_Correlation numeric
@attribute log_sigma_4_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_4_5_mm_3D_glcm_MCC numeric
@attribute log_sigma_4_5_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glszm_SmallAreaLowGrayLevelEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_5_0_mm_3D_firstorder_Variance numeric
@attribute log_sigma_5_0_mm_3D_glszm_SizeZoneNonUniformityNormalized numeric
@attribute log_sigma_5_0_mm_3D_ngtdm_Busyness numeric
@attribute wavelet_LLH_firstorder_Median numeric
@attribute wavelet_LLH_glcm_ClusterShade numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_LLH_glcm_MaximumProbability numeric
@attribute wavelet_LLH_gldm_DependenceEntropy numeric
@attribute wavelet_LLH_gldm_LargeDependenceLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_GrayLevelNonUniformityNormalized numeric
@attribute wavelet_LLH_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glszm_SmallAreaHighGrayLevelEmphasis numeric
@attribute wavelet_LHH_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_Median numeric
@attribute label {0,1}

@data
0.007352,0.136466,0.67966,0.319639,0.105425,0.352549,0.127842,0.113637,0.086342,0.616167,0.216123,0.659866,0.085131,0.305857,0.117999,0.39495,0.119318,0.349885,0.76136,0.294377,0.775374,0.327886,0.775374,0.231295,0.328137,0.62924,0.017389,0.295652,0.000634,0.883882,0.756538,0.265684,0.441888,0.120025,0.690146,0.990053,0.837777,0.104338,0.101911,0.723718,0
0.011155,0.517423,0.651831,0.271264,0.266592,0.645471,0.223692,0.079808,0.080776,0.217909,0.22606,0.154311,0.079062,0.818057,0.090601,0.885199,0.269247,0.269218,0.839414,0.125322,0.827263,0.325948,0.827263,0.231295,0.03625,0.31462,0.012325,0.295652,0.010943,0.963634,0.690069,0.061447,0.247778,0.104595,0.585407,0.988923,0.957228,0,0.098211,0.808608,0
0.0104,0.496564,0.624192,0.370885,0.37818,0.775669,0.18737,0.097995,0.10072,0.235739,0.213122,0.217599,0.04683,0.418383,0.099869,0.799385,0.238335,0.348368,0.837034,0.054576,0.885315,0.226241,0.885315,0.143562,0.53125,0.31462,0.015926,0.413043,0.007082,0.931505,0.726907,0.087326,0.32987,0.117825,0.626307,0.989494,0.927127,0.208676,0.10187,0.784848,0
0.009465,0.437702,0.735563,0.305036,0.331474,0.458826,0.167114,0.090763,0.08032,0.283188,0.234801,0.257589,0.046637,0.540898,0.090415,0.769857,0.207554,0.366241,0.805995,0.281974,0.866328,0.240831,0.866328,0.248842,0.20625,0.290057,0.01573,0.706522,0.002498,0.955745,0.704899,0.101786,0.291544,0.130877,0.621362,0.988738,0.923477,0.344316,0.088507,0.762051,0
0.009281,0.415014,0.712992,0.334084,0.324336,0.352645,0.187189,0.104156,0.089669,0.335931,0.202853,0.312263,0.069709,0.591357,0.082175,0.709498,0.185552,0.458855,0.790953,0.275476,0.761229,0.368591,0.761229,0.292033,0.097481,0.752806,0.010341,0.194754,0.000818,0.964583,0.692748,0.186988,0.285363,0.158599,0.634595,0.988669,0.90436,0.100474,0.101432,0.744744,0
0.008446,0.409536,0.746084,0.218343,0.243878,0.318977,0.175054,0.098826,0.052872,0.387498,0.238136,0.379594,0.071832,0.474571,0.072551,0.627018,0.188054,0.525044,0.806864,0.275476,0.701743,0.461328,0.701743,0.275161,0.093755,0.550585,0.008032,0.119565,0.00135,0.951574,0.716646,0.236683,0.346844,0.143213,0.661957,0.989176,0.870635,0.040687,0.113258,0.752584,0
0.010431,0.243456,0.394578,0.414092,0.065344,0.49185,0.228468,0.148256,0.080994,0.112776,0.198113,0.202142,0.149431,0.461895,0.130568,0.71221,0.312876,0.39552,0.89675,0.2235,0.737082,0.481308,0.737082,0.108469,0.544444,0.415905,0.017424,0.347826,0.000784,0.92319,0.744063,0.197977,0.396245,0.184762,0.662368,0.988945,0.886016,0.366376,0.110419,0.760211,0
0.00825,0.208145,0.392463,0.489802,0.111971,0.424978,0.19495,0.142384,0.078033,0.126295,0.232748,0.173206,0.125713,0.369103,0.135369,0.756383,0.253875,0.255133,0.842616,0.281974,0.719614,0.492426,0.719614,0.178656,0.501562,0.415905,0.014328,1,0.002882,0.906609,0.759439,0.177146,0.426339,0.220165,0.670767,0.988918,0.896832,0.344316,0.119828,0.70331,0
0.008229,0.20753,0.467323,0.402946,0.200783,0.400014,0.176485,0.092146,0.098934,0.143421,0.243139,0.152276,0.097127,0.490156,0.109269,0.751945,0.199064,0.24374,0.811899,0.287027,0.720065,0.482136,0.720065,0.268895,0.230159,0.265027,0.013419,1,0.009358,0.91818,0.740407,0.147967,0.375278,0.226607,0.649808,0.989522,0.934198,0.217371,0.098324,0.718371,0
0.006439,0.151282,0.571788,0.443296,0.182881,0.393486,0.138249,0.059678,0.076511,0.510168,0.248142,0.425418,0.055603,0.551171,0.085354,0.680805,0.137847,0.192071,0.777714,0.266814,0.79721,0.320398,0.79721,0.231295,0.125001,0.31462,0.011296,0.608696,0.000739,0.924596,0.743213,0.121828,0.375122,0.153837,0.648771,0.991007,0.931557,0.250411,0.090799,0.722678,0
