@relation Dataset_T2_40d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute wavelet_HLL_glcm_Contrast numeric
@attribute wavelet_LLH_glcm_MCC numeric
@attribute wavelet_HLL_glcm_MCC numeric
@attribute wavelet_HLL_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_HLL_glrlm_RunPercentage numeric
@attribute wavelet_HLL_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_glcm_ClusterTendency numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_LLH_gldm_DependenceNonUniformityNormalized numeric
@attribute log_sigma_2_5_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_glrlm_RunPercentage numeric
@attribute wavelet_LLH_gldm_DependenceVariance numeric
@attribute wavelet_LLL_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_gldm_SmallDependenceEmphasis numeric
@attribute wavelet_HHL_glrlm_LongRunEmphasis numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_DifferenceEntropy numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute original_glcm_Correlation numeric
@attribute wavelet_HHL_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_RobustMeanAbsoluteDeviation numeric
@attribute original_glcm_MCC numeric
@attribute label {0,1}

@data
0.531499,0.690246,0,0.41509,0.703084,0.331883,0.213193,0.313235,0.138694,0.265684,0.313047,0.722637,0.652487,0.379816,0.249017,0.191958,0.312832,0.2047,0.575939,0.669539,0.307359,0.271093,0.547656,0.438221,0.33921,0.769972,0.460049,0.561357,0.182181,0.295479,0.524055,0.235746,0.330826,0.616167,0.439742,0.352549,0.329683,0.356008,0.166286,0.329596,0
0.566185,0.644727,1,0.461041,0.665225,0.388069,1,0.354693,1,0.061447,0.35448,0.948888,0.637271,0.462047,0.075697,0.070455,0.354237,0.066345,0.537197,0.654446,0.32708,0.288849,0.526352,0.693066,0.183679,0.732235,0.663501,0.721543,0.113839,0.740548,0.653807,0.333123,0.188411,0.217909,0.470824,0.645471,1,0.177239,0.123097,1,0
0.643048,0.601764,1,0.379212,0.624096,0.44363,1,0.39412,1,0.087326,0.393884,0.911442,0.605877,0.389622,0.125677,0.089521,0.393614,0.089857,0.495108,0.625483,0.356465,0.326141,0.492796,0.86631,0.223339,0.725424,0.882267,0.681712,0.143432,0.770516,0.62559,0.364035,0.227953,0.235739,0.528775,0.775669,1,0.235465,0.105563,1,0
0.597528,0.637439,0.000001,0.432909,0.656038,0.383652,0.557421,0.361304,0.454955,0.101786,0.361087,0.90369,0.649223,0.423948,0.159,0.041771,0.36084,0.04583,0.527796,0.663513,0.316316,0.277715,0.514932,0.592333,0.236546,0.707646,0.565321,0.666758,0.140421,0.768735,0.613626,0.308224,0.207033,0.283188,0.492446,0.458826,0.076968,0.223444,0.098302,0.076966,0
0.6398,0.607167,1,0.384171,0.628746,0.374203,1,0.385065,1,0.186988,0.384834,0.823621,0.638214,0.361953,0.236179,0.095502,0.38457,0.096927,0.499867,0.639959,0.330268,0.289095,0.48865,0.470255,0.303908,0.720276,0.460785,0.593578,0.14082,0.806059,0.553714,0.278761,0.226453,0.335931,0.52204,0.352645,1,0.225479,0.095164,1,0
0.552987,0.676865,1,0.466422,0.690538,0.306789,1,0.326177,1,0.236683,0.325981,0.768151,0.694926,0.434237,0.252007,0.164886,0.325758,0.159408,0.563101,0.696367,0.277259,0.238326,0.539295,0.448798,0.338894,0.737712,0.446128,0.55543,0.135757,0.751348,0.507643,0.228305,0.271558,0.387498,0.456954,0.318977,1,0.284227,0.106628,1,0
0.525543,0.693571,0,0.398652,0.706122,0.325027,0.557421,0.311865,0.454955,0.197977,0.311678,0.795355,0.646026,0.357897,0.155735,0.185164,0.311464,0.170416,0.579048,0.664279,0.310269,0.273405,0.553224,0.489463,0.283568,0.58371,0.473892,0.624907,0.209108,0.553679,0.571214,0.270038,0.148294,0.112776,0.436959,0.49185,0.204193,0.182519,0.157695,0.12734,0
0.632401,0.618145,0,0.292978,0.638244,0.440306,0.291873,0.367517,0.127928,0.177146,0.367296,0.807686,0.569551,0.265959,0.138173,0.117929,0.367045,0.113971,0.509586,0.606387,0.37339,0.331518,0.481617,0.443994,0.273534,0.524486,0.423734,0.644683,0.273356,0.614188,0.598546,0.312274,0.137779,0.126295,0.508335,0.424978,0.140156,0.140889,0.115725,0.140528,0
0.569678,0.659627,1,0.384684,0.676108,0.330762,1,0.336944,1,0.147967,0.336741,0.846133,0.632951,0.344525,0.156274,0.052404,0.336511,0.053475,0.548334,0.64878,0.32395,0.271225,0.521907,0.539731,0.260696,0.568108,0.55789,0.65479,0.244984,0.659364,0.60009,0.24694,0.154199,0.143421,0.466349,0.400014,1,0.154856,0.115316,1,0
0.660931,0.587179,1,0.360777,0.611823,0.431943,1,0.396219,1,0.121828,0.395981,0.870409,0.590377,0.36126,0.146897,0.021334,0.39571,0.021703,0.482549,0.618515,0.360371,0.319284,0.466342,0.555083,0.258001,0.669271,0.586704,0.651246,0.198101,0.788998,0.603043,0.311487,0.194654,0.510168,0.533236,0.393486,1,0.218403,0.087928,1,0
