@relation Dataset_T2_6d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute label {0,1}

@data
0.467079,0.736924,0,0.332105,0.526809,0.490517,0
0.73959,0.523216,1,0.250669,0.556432,0.616541,1
0.696761,0.558697,1,0.337422,0.587676,0.577746,1
0.705921,0.554688,1,0.345098,0.582209,0.606734,1
0.751426,0.508645,1,0.257623,0.543279,0.644647,1
0.473714,0.723741,0,0.490931,0.734558,0.286754,1
0.465116,0.735767,1,0.533758,0.744386,0.333556,1
0.251678,0.864789,0,0.833331,0.865592,0.173577,1
0.403708,0.775528,1,0.604109,0.781264,0.23267,1
0.429916,0.757233,0,0.536438,0.764806,0.234066,1
0.270832,0.862412,0,0.751306,0.862474,0.280353,1
0.258926,0.876465,0,0.795767,0.873814,0.330217,1
0.426213,0.769062,0,0.642901,0.773903,0.356921,1
0.564503,0.672473,0,0.461709,0.686069,0.470066,1
0.539067,0.693093,0,0.495454,0.70446,0.496017,1
0.602543,0.636949,1,0.391624,0.65526,0.380066,0
0.673241,0.576997,1,0.342451,0.602307,0.385515,0
0.703814,0.560182,1,0.296156,0.586075,0.413151,0
0.670763,0.584788,1,0.344033,0.608333,0.413447,0
0.729727,0.51783,0,0.281782,0.550173,0.449896,0
0.63363,0.616282,1,0.271177,0.636191,0.48714,0
0.617021,0.623729,1,0.285069,0.643344,0.450732,0
0.59029,0.621973,1,0.385674,0.584587,0.482269,0
0.63619,0.588967,1,0.347634,0.587891,0.466695,0
0.610161,0.63535,0.000002,0.340674,0.653049,0.416577,0
0.610788,0.633617,0,0.353849,0.652133,0.425042,1
0.557914,0.647268,0,0.500245,0.607913,0.467013,1
0.484182,0.700561,0,0.514188,0.611651,0.429743,1
0.43105,0.755723,0,0.458863,0.581765,0.437749,1
0.560487,0.674657,0,0.367425,0.688098,0.375979,0
0.53715,0.682877,0,0.39522,0.697155,0.339619,0
0.609214,0.632141,1,0.33444,0.650761,0.370015,0
0.608087,0.633437,1,0.342977,0.65166,0.406765,0
0.599913,0.638653,1,0.34067,0.657201,0.429964,0
0.288579,0.803428,1,0.817425,0.816792,0.128263,1
0.362713,0.761355,0.000001,0.69846,0.776703,0.192165,1
0.343181,0.779047,1,0.728487,0.743081,0.201589,1
0.609878,0.606702,0,0.426152,0.574486,0.447173,1
0.470609,0.705517,0,0.440412,0.653436,0.367132,1
0.523379,0.691911,0,0.508838,0.707799,0.424519,0
0.566153,0.670201,0.000001,0.431254,0.685546,0.42934,0
