@relation Dataset_T2_6d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute label {0,1}

@data
0.005202,0.249129,0.644764,0.492382,0.213337,0.431682,0
0.032387,0.634822,0.555103,0.350782,0.418807,0.801543,0
0.023899,0.330837,0.511239,0.398911,0.322182,0.694763,0
0.022778,0.27992,0.491312,0.526449,0.277788,0.526793,0
0.011385,0.169134,0.397051,0.683479,0.214871,0.444112,0
0.008878,0.250313,0.529706,0.435739,0.343382,0.426035,0
0.006474,0.466184,0.774719,0.126548,0.333062,0.586148,0
0.009025,0.34492,0.615815,0.361442,0.340869,0.673528,0
0.010317,0.183561,0.838897,0.233819,0.269852,0.35576,0
0.006258,0.211913,0.662274,0.282358,0.271728,0.464714,0
0.006987,0.29614,0.458568,0.372494,0.295427,0.472588,0
0.011858,0.202763,0.569326,0.43005,0.145268,0.392414,1
0.011193,0.082827,0.612437,0.505343,0.145999,0.383991,1
0.011703,0.021232,0.593823,0.69628,0.005057,0.247268,1
0.008094,0.110239,0.356597,0.674536,0.089556,0.17532,1
0.006281,0.512541,0.641206,0.236058,0.425083,0.482094,1
0.007059,0.418036,0.753798,0.201909,0.371524,0.394284,1
0.006865,0.365144,0.680593,0.215449,0.299559,0.419849,1
0.007171,0.126648,0.688842,0.222133,0.154192,0.203799,1
0.006182,0.287949,0.555297,0.354791,0.180963,0.106139,1
0.008216,0.434361,0.586095,0.507248,0.387415,0.836455,1
0.047091,0.400575,0.770951,0.549618,0.344988,0.557235,1
0.013508,0.343597,0.709285,0.634205,0.471644,0.507358,1
0.009776,0.323046,0.66859,0.745612,0.384766,0.348652,1
0.014459,0.253205,0.560153,0.688452,0.271863,0.169285,1
0.01481,0.649829,0.737623,0.273862,0.484733,0.837347,0
0.010235,0.291325,0.797946,0.264582,0.478585,0.702393,0
0.013026,0.13175,0.822934,0.263606,0.340702,0.527427,0
0.013323,0.227206,0.813951,0.253495,0.316111,0.474916,0
0.009579,0.493984,0.611287,0.366449,0.459141,0.49503,0
0.003545,0.434457,0.674227,0.103874,0.383929,0.733329,0
0.002255,0.345515,0.771803,0.053719,0.401912,0.811076,0
0.003885,0.544932,0.733799,0.187031,0.594657,0.825031,0
0.002533,0.807255,0.869491,0.082727,0.634372,0.808896,0
0.002916,0.780705,0.715727,0.160115,0.539635,0.580326,0
0.007208,0.356416,0.664259,0.279825,0.382808,0.489583,1
0.011774,0.265128,0.550237,0.511279,0.206364,0.510874,1
0.011475,0.242716,0.428124,0.602918,0.271898,0.341886,1
0.010515,0.328914,0.490339,0.423798,0.313901,0.071013,1
0.005369,0.310619,0.769342,0.114606,0.267785,0.484098,0
0.006025,0.188494,0.784061,0.158417,0.224153,0.340385,0
0.005793,0.323273,0.747683,0.191315,0.433132,0.364772,0
0.004731,0.147261,0.756795,0.172584,0.145486,0.234543,0
0.002367,0.159002,0.517765,0.331129,0.330216,0.362173,0
0.009743,0.270579,0.49338,0.35241,0.288018,0.311286,1
0.01093,0.200713,0.424603,0.480266,0.138998,0.326812,1
0.009333,0.202297,0.506563,0.471127,0.228101,0.299062,1
0.006324,0.1315,0.411252,0.651909,0.126326,0.313224,1
0.008879,0.204606,0.238493,0.510129,0.237744,0.162282,1
0.007991,0.986759,0.480383,0.595542,0.640293,0.918567,0
0.006116,0.521123,0.622805,0.568586,0.57058,0.771494,0
0.007605,0.427776,0.704193,0.596521,0.51055,0.467199,0
0.00943,0.412657,0.709211,0.577336,0.482812,0.560918,0
0.005939,0.21467,0.446146,0.666896,0.250603,0.258408,0
0.009692,0.157361,0.894377,0.033478,0.288345,0.494192,0
0.009358,0.25205,0.900043,0.01496,0.252235,0.456621,0
0.010917,0.24363,0.942397,0.067734,0.214999,0.344094,0
0.004069,0.127673,0.880642,0.072368,0.098374,0.352964,0
0.023298,0.268775,0.771094,0.124526,0.284516,0.157162,0
0.00659,0.244894,0.670891,0.159061,0.210737,0.267402,1
0.005747,0.090018,0.620968,0.233703,0.051435,0.236375,1
0.008427,0.111862,0.699751,0.258506,0.132326,0.151741,1
0.008221,0.085186,0.821539,0.277488,0.098439,0.176788,1
0.004696,0.096,0.624768,0.268284,0.150615,0.221618,1
0.008112,0.189033,0.441439,0.528763,0.166452,0.382039,0
0.010692,0.446356,0.238007,0.83454,0.236703,0.522728,0
0.010781,0.160399,0.333665,0.898882,0.201797,0.36364,0
0.006692,0.087697,0.391684,0.6929,0,0.242339,0
0.00845,0.223867,0,1,0.053539,0.277722,0
0.002438,0.316282,0.612514,0.326893,0.305723,0.575925,0
0.010106,0.222293,0.579558,0.368783,0.222559,0.502505,0
0.009475,0.267946,0.479032,0.521223,0.223003,0.477569,0
0.006779,0.214821,0.478817,0.575873,0.213084,0.525153,0
0.002867,0.209798,0.443207,0.491152,0.23112,0.508808,0
0.004257,0.340207,0.947658,0.027876,0.359029,0.666009,0
0.005858,0.418483,0.655154,0.367695,0.341243,0.650127,0
0.0093,0.356021,0.799264,0.240495,0.385206,0.223409,0
0.013601,0.207911,0.756987,0.34797,0.25268,0.292801,0
0.005842,0.13049,0.702297,0.280104,0.198906,0,0
0.004824,0.259497,0.617419,0.159334,0.125899,0.455757,0
0.00655,0.249397,0.300681,0.562936,0.170079,0.563229,0
0.006976,0.260665,0.506763,0.391987,0.177465,0.395422,0
0.005765,0.43615,0.44725,0.323421,0.245802,0.724521,0
0.004846,0.53164,0.527035,0.290616,0.299718,0.746361,0
0.003518,0.101607,0.618659,0.300374,0.24572,0.456851,0
0.003874,0.168836,0.580153,0.434165,0.113011,0.203666,0
0.002239,0.112512,0.35512,0.460697,0.107779,0.093403,0
0.016246,0.20696,0.606744,0.340849,0.225788,0.290084,0
0.010217,0.191882,0.631221,0.317053,0.212158,0.215913,0
0.010809,0.278886,0.683767,0.364522,0.237241,0.102369,0
0.009694,0.186854,0.501209,0.418676,0.173176,0.172993,0
0.009754,0.338992,0.430636,0.389522,0.287116,0.286348,0
0.009505,0.403041,0.593519,0.292128,0.337544,0.625516,0
0.005396,0.208668,0.699602,0.245803,0.152055,0.338127,0
0.012105,0.252482,0.627175,0.337509,0.238603,0.452797,0
0.01123,0.269689,0.555339,0.466072,0.285018,0.107293,0
0.005705,0.267249,0.60255,0.352103,0.210332,0.193374,0
0.084921,0.174941,0.54155,0.229244,0.182034,0.47179,1
0.125802,0.397682,0.267873,0.459225,0.317447,0.346607,1
0.102401,0.115921,0.52608,0.29966,0.077422,0.315376,1
0.113714,0,0.485054,0.382498,0.026844,0.346484,1
0.007727,0.32203,0.739193,0.080846,0.499133,0.649544,1
0.006838,0.160752,0.75314,0.215596,0.290007,0.448401,1
0.007633,0.092339,0.572401,0.390924,0.177159,0.430283,1
0.007008,0.175965,0.614341,0.336405,0.19617,0.264255,1
0.004926,0.214916,0.610892,0.267502,0.384017,0.057529,1
0.013515,0.204773,0.466243,0.130093,0.183503,0.512936,1
0.003888,0.152008,0.651456,0.289324,0.148286,0.305381,1
0.03178,0.147178,0.478627,0.327281,0.254071,0.411711,1
0.008599,0.162116,0.056726,0.590382,0.140712,0.529341,1
0.014448,0.23318,0.640319,0.287566,0.136282,0.371175,1
0.011222,0.17961,0.569312,0.382168,0.133978,0.134461,1
0.009671,0.136821,0.541754,0.516005,0.120943,0.107701,1
0.007138,0.232224,0.724798,0.28452,0.19415,0.055649,1
0.026031,0.502765,0.651075,0.359281,0.439748,0.339219,1
0.015036,0.258959,0.48782,0.591712,0.278089,0.313792,1
0.011813,0.407925,0.459007,0.648628,0.357599,0.144886,1
0.02488,0.242217,0.660008,0.445351,0.282201,0.349754,0
0.022718,0.179937,0.622553,0.548905,0.1832,0.357164,0
0.013114,0.255233,0.60638,0.438928,0.282427,0.060849,0
0.016558,0.213417,0.547926,0.48265,0.231788,0.078632,0
0.049795,0.221396,0.51307,0.495628,0.22985,0.158512,0
0.010895,0.448108,0.295571,0.629763,0.311766,0.614753,0
0.0081,0.150281,0.273189,0.699034,0.090507,0.3481,0
0.013244,0.027231,0.33162,0.744511,0.042134,0.163298,0
0.009756,0.241031,0.460945,0.634912,0.283519,0.500638,0
0.006537,0.084491,0.502566,0.593064,0.318492,0.508058,0
0.016086,0.335716,0.817764,0.153445,0.378992,0.583938,0
0.014059,0.420333,0.952402,0.089866,0.413059,0.560534,0
0.029713,0.243435,0.74112,0.236943,0.278809,0.142737,0
0.008,0.375537,0.645425,0.341068,0.562454,0.5035,0
0.011952,0.509011,0.781589,0.055463,0.468322,0.700593,0
0.014275,0.745601,0.62595,0.173044,0.752176,0.831272,0
0.010711,0.257453,0.661425,0.180294,0.257926,0.347112,0
0.007751,0.150501,0.580262,0.226031,0.220035,0.339516,0
0.010542,0.244114,0.67512,0.218096,0.251836,0.181155,0
0.009949,0.324349,0.477539,0.348009,0.37924,0.667162,0
0.008814,0.653099,0.621345,0.300984,0.507454,0.829371,0
0.008208,0.370221,0.729174,0.217722,0.277553,0.56443,0
0.009018,0.154528,0.837678,0.163439,0.224236,0.348667,0
0.00339,0.252491,0.77436,0.122487,0.341529,0.413157,0
0.093879,0.164964,0.152426,0.69244,0.2324,0.570859,1
0.05445,0.164764,0.48161,0.654348,0.11371,0.203288,1
0.022722,0.160446,0.561488,0.623393,0.110184,0.106574,1
0.022426,0.283269,0.533097,0.522268,0.211964,0.015719,1
0.006396,0.195972,0.668632,0.230436,0.144762,0.176962,1
0.016863,0.332211,0.838296,0.198147,0.202937,0.296236,1
0.011476,0.052512,0.769913,0.280728,0.000118,0.298618,1
0.013294,0.079664,0.676575,0.215535,0.045698,0.162063,1
0.031027,0.555891,0.625643,0.258258,0.178359,0.239289,1
0.05805,0.729866,0.636948,0.320961,0.244224,0.370416,1
0.067997,0.139278,0.548926,0.419608,0.128371,0.275335,1
0.12789,0.141825,0.376037,0.388968,0.03209,0.214345,1
0,0.326883,0.705607,0.058954,0.313991,0.407848,0
0.004841,0.09099,0.717898,0.194696,0.137358,0.310631,0
0.006528,0.049675,0.603735,0.284028,0.039908,0.258537,0
0.009827,0.306615,0.553968,0.324899,0.24272,0.375631,1
0.011199,0.714224,0.643888,0.414443,0.41603,0.623076,1
0.01091,0.338241,0.640063,0.322876,0.333198,0.117944,1
0.0142,0.375522,0.6993,0.267459,0.342645,0.157991,1
0.627986,0.217005,0.609199,0.468407,0.297774,0.622855,1
0.693551,0.230536,0.56036,0.508601,0.403525,0.607696,1
0.801216,0.124885,0.764678,0.530002,0.318831,0.504615,1
1,0.195265,0.742234,0.476742,0.297144,0.432995,1
0.829845,0.125718,0.546079,0.511994,0.091618,0.294534,1
0.006788,0.192144,0.375356,0.369026,0.116428,0.459574,0
0.00479,0.111612,0.425474,0.350721,0.10998,0.396878,0
0.004174,0.153165,0.453646,0.495099,0.188707,0.39155,0
0.00281,0.137377,0.292089,0.669487,0.120671,0.365928,0
0.005428,0.471893,0.665909,0.227834,0.293261,0.655958,0
0.005569,0.192398,0.707844,0.3042,0.182435,0.435774,0
0.005549,0.215706,0.652264,0.358893,0.238011,0.444855,0
0.004169,0.136132,0.671582,0.324598,0.204587,0.316091,0
0.000398,0.104611,0.476258,0.401768,0.029398,0.299209,0
0.0002,0.485732,0.623285,0.093484,0.311443,0.674034,0
0.001761,0.385714,0.345145,0.354441,0.254705,0.71392,0
0.002845,0.078337,0.679612,0.232792,0.208518,0.576347,0
0.000599,0.202321,0.586443,0.233422,0.192191,0.360456,0
0.243103,0.342014,0.820218,0.16509,0.478023,0.744172,0
0.064812,0.243428,0.638787,0.341227,0.21208,0.438111,0
0.014882,0.229936,0.833208,0.242762,0.287085,0.464512,0
0.004712,0.16355,0.531842,0.431605,0.218893,0.379627,0
