@relation Dataset_T2_16d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute label {0,1}

@data
0.009073,0.156062,0.634674,0.331005,0.136959,0.255999,0.132243,0.053111,0.050552,0.692514,0.236707,0.630225,0.041491,0,0.086954,0.550096,1
0.002973,0.165265,0.578947,0.372301,0.090656,0.325399,0.12447,0.054592,0.049068,0.590533,0.248142,0.621814,0.07257,0.439595,0.083516,0.365005,1
0.005366,0.447224,0.623208,0.209464,0.137886,0.395916,0.201637,0.074175,0.049188,0.575792,0.133791,0.641081,0.089396,0.552708,0.054533,0.368912,0
0.007336,0.132308,0.783266,0.187395,0.114187,0.439117,0.172591,0.053705,0.045138,0.407213,0.1756,0.391083,0.067817,0.46926,0.06255,0.616996,0
0.01309,0.228089,0.841931,0.243901,0.287205,0.229489,0.154028,0.077616,0.065113,0.545859,0.198113,0.469694,0.038703,0.305857,0.070325,0.544721,0
0.014621,0.450986,0.728033,0.261373,0.259274,0.086395,0.167179,0.071602,0.054189,0.759461,0.260457,0.689837,0.063837,0.267979,0.071334,0.345755,0
0.015291,0.441881,0.687626,0.318192,0.460023,0.255265,0.172714,0.102763,0.080581,0.627509,0.220626,0.62856,0.079061,0.305857,0.086469,0.446935,0
0.032689,1,0.684086,0.180222,0.51118,0.868924,0.197521,0.066735,0.137432,0.368972,0.20504,0.38197,0.084408,0.439595,0.169972,0.649095,0
0.033733,0.899056,0.802041,0.155715,0.686932,0.754325,0.176556,0.05821,0.124926,0.534084,0.157181,0.380681,0.045555,0.326534,0.181858,0.797648,0
0.02407,0.399658,0.660237,0.356001,0.317838,0.263444,0.154701,0.010351,0.107309,0.402136,0.091689,0.279911,0.004156,0.501872,0.150752,0.763489,0
0.029594,0.236219,0.560329,0.374839,0.243843,0.366504,0.131983,0.061965,0.140581,0.674231,0.262436,0.597989,0.067538,0.46551,0.119868,0.389447,0
0.004395,0.695411,0.844533,0.054067,0.488119,0.878846,0.22943,0.072455,0.164224,0.54682,0.091689,0.421121,0.080003,0.305857,0.155277,0.675724,0
0.007228,0.295787,0.838938,0.100795,0.385768,0.556224,0.191264,0.100583,0.136096,0.700056,0.108062,0.496361,0.050293,0.240644,0.148833,0.702575,0
0.006312,0.161004,0.872644,0.087534,0.306598,0.351118,0.148663,0.06457,0.108472,0.701283,0.210978,0.48937,0.074876,0.47093,0.117155,0.747023,0
0.014735,0.132444,0.808734,0.125174,0.304148,0.397542,0.176792,0.100882,0.11785,0.55691,0.121916,0.444572,0.073663,0.305857,0.134343,0.667764,0
0.007196,0.211994,0.811697,0.115644,0.346872,0.432926,0.177318,0.058147,0.136712,0.622225,0.243139,0.507616,0.076997,0.240644,0.158478,0.613268,0
0.009409,0.554576,0.927054,0,0.492259,0.666003,0.207495,0.135629,0.134721,0.523241,0.1756,0.506099,0.066026,0.435379,0.124876,0.620551,0
0.01379,0.623983,0.806024,0.077789,0.574645,0.715023,0.182846,0.142129,0.123699,0.775157,0.138079,0.539732,0.06378,0.517544,0.115865,0.690082,0
0.005473,0.459771,0.943292,0.024874,0.513523,0.53002,0.181625,0.088642,0.113473,0.663961,0.144082,0.444291,0.057283,0.46926,0.105332,0.767736,0
0.007925,0.374086,0.893852,0.178396,0.475102,0.456394,0.160713,0.033421,0.091477,0.639275,0.058943,0.546233,0.043731,0.632392,0.086055,0.593474,0
0.002662,0.19748,0.682095,0.264232,0.291861,0.53129,0.120708,0.079473,0.086536,0.65744,0.236707,0.55534,0.082889,0.352111,0.07693,0.580941,0
0.006408,0.494545,0.766583,0.174391,0.423455,0.59649,0.162802,0.145434,0.119609,0.274944,0.194198,0.162857,0.104139,0.719613,0.123856,0.815706,0
0.007741,0.428695,0.718173,0.322819,0.444753,0.766735,0.123656,0.081262,0.124098,0.447398,0.243139,0.401002,0.100183,0.401272,0.11191,0.648276,0
0.009294,0.370363,0.633214,0.438304,0.376808,0.530427,0.140233,0.043267,0.118097,0.380319,0.219554,0.326025,0.056023,0.652814,0.095798,0.719275,0
0.007289,0.148143,0.610455,0.376831,0.16754,0.21858,0.128094,0.061897,0.085997,0.528758,0.271012,0.536004,0.040805,0.600044,0.095324,0.376012,0
0.003686,0.303368,0.48773,0.453465,0.315002,0.042958,0.106224,0.093162,0.045362,0.487307,0.272504,0.599147,0.08994,0.635654,0.093597,0.280837,0
0.012697,0.429486,0.653237,0.306868,0.388333,0.768412,0.191226,0.098824,0.075991,0.319195,0.245788,0.200913,0.090897,0.365046,0.096917,0.805758,0
0.00894,0.591327,0.632796,0.338586,0.371585,0.783263,0.209713,0.027616,0.100243,0.27286,0.180103,0.164426,0.086289,0.435158,0.102857,0.789274,0
0.011984,0.754849,0.706209,0.239548,0.482973,0.64544,0.197721,0.078599,0.075594,0.202571,0.250902,0.09953,0.08385,0.435161,0.096033,0.911304,0
0.009579,0.379658,0.748715,0.250609,0.423511,0.553349,0.168138,0.066152,0.093268,0.43478,0.198113,0.305901,0.04493,0.519564,0.080262,0.839717,0
0.007058,0.267964,0.85403,0.342894,0.411714,0.631514,0.130298,0.044694,0.070894,0.696215,0.198113,0.599809,0.044,0.177348,0.079008,0.54382,0
0.0041,0.259264,0.284319,0.617728,0.206511,0.536606,0.161215,0.096575,0.091045,0.083009,0.204117,0,0.09194,0.482134,0.118072,0.925756,0
0.004276,0.251034,0.385518,0.59691,0.23739,0.312556,0.111576,0.052816,0.082104,0.341119,0.256842,0.265669,0.055059,0.548241,0.109324,0.71737,0
0.006352,0.249312,0.340762,0.630316,0.302593,0.348709,0.100745,0.083373,0.072824,0.306116,0.260457,0.251398,0.056489,0.418383,0.106219,0.672023,0
0.00489,0.239587,0.499303,0.469889,0.232726,0.384273,0.117577,0.15858,0.087735,0.418528,0.256382,0.425285,0.116861,0.288321,0.103129,0.50568,0
0.005351,0.247619,0.5015,0.339905,0.121528,0.490422,0.142034,0.115576,0.084844,0.483349,0.22552,0.457654,0.141547,0.506098,0.101912,0.607327,0
0.011274,0.741689,0.964921,0.088647,0.547296,0.86152,0.203581,0.116519,0.073034,0.556661,0.117541,0.388949,0.068377,0.524066,0.069126,0.813413,0
0.009326,0.45449,0.922306,0.186549,0.525952,0.768848,0.189392,0.068326,0.08536,0.617785,0.248142,0.445801,0.062551,0.305857,0.08335,0.788912,0
0.010768,0.420475,1,0.203766,0.583126,0.659009,0.164426,0.064508,0.097188,0.610097,0.222673,0.466532,0.063523,0.231029,0.086128,0.764567,0
0.008495,0.780276,0.998009,0.106514,1,0.880289,0.154545,0.073665,0.110995,0.656109,0.188107,0.478171,0.065944,0.401758,0.06841,0.72643,0
0.005969,0.509361,0.840427,0.088839,0.702778,0.730216,0.123774,0.103945,0.097732,0.483363,0.213122,0.314005,0.077603,0.636456,0.081762,0.890961,0
0.009846,0.339812,0.632412,0.254272,0.292384,0.435669,0.14808,0.123465,0.055026,0.285523,0.234801,0.217903,0.093149,0.610627,0.059086,0.792953,1
0.010118,0.666219,0.658442,0.282619,0.292261,0.541956,0.166807,0.082622,0.049748,0.305442,0.157181,0.216878,0.061769,0.573552,0.051613,0.736591,1
0.007625,0.410965,0.663728,0.337431,0.275674,0.531299,0.13445,0.073459,0.054749,0.453418,0.261483,0.378568,0.061474,0.440492,0.053194,0.648768,1
0.00537,0.13235,0.41129,0.514329,0.066685,0.383999,0.109617,0.148512,0.059189,0.538164,0.261483,0.532078,0.114118,0.442038,0.094266,0.346614,1
0.030396,0.379372,0.467642,0.390353,0.20608,0.478238,0.184069,0.166123,0.109556,0.413078,0.19211,0.339096,0.184723,0.528415,0.16871,0.687441,1
