@relation Dataset_T2_16d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute label {0,1}

@data
0.010515,0.328914,0.490339,0.423798,0.313901,0.071013,0.10528,0.094937,0.059082,0.327092,0.268694,0.440074,0.088157,0.471714,0.108904,0.446509,1
0.005369,0.310619,0.769342,0.114606,0.267785,0.484098,0.159877,0.070771,0.117191,0.415275,0.20504,0.244168,0.044564,0.256652,0.141545,0.848422,0
0.006025,0.188494,0.784061,0.158417,0.224153,0.340385,0.149653,0.068089,0.101514,0.566587,0.216123,0.361876,0.037115,0.267979,0.130132,0.772229,0
0.005793,0.323273,0.747683,0.191315,0.433132,0.364772,0.152307,0.115272,0.108812,0.683496,0.236707,0.478142,0.074169,0.523682,0.120188,0.791803,0
0.004731,0.147261,0.756795,0.172584,0.145486,0.234543,0.169767,0.082283,0.073942,0.457579,0.253859,0.414533,0.039028,0.614785,0.098043,0.681279,0
0.002367,0.159002,0.517765,0.331129,0.330216,0.362173,0.140906,0.0688,0.130919,0.431933,0.266976,0.41444,0.058295,0.47087,0.105041,0.597306,0
0.009743,0.270579,0.49338,0.35241,0.288018,0.311286,0.107321,0.122886,0.079149,0.62933,0.245788,0.560898,0.077562,0.375023,0.07963,0.521898,1
0.01093,0.200713,0.424603,0.480266,0.138998,0.326812,0.1138,0.078791,0.091144,0.542852,0.27757,0.550874,0.099292,0.561478,0.092035,0.432837,1
0.009333,0.202297,0.506563,0.471127,0.228101,0.299062,0.093225,0.054587,0.081565,0.576545,0.263323,0.510174,0.03529,0.543692,0.094477,0.43189,1
0.006324,0.1315,0.411252,0.651909,0.126326,0.313224,0.075872,0.107462,0.070275,0.580769,0.276545,0.62171,0.085282,0.360853,0.090747,0.242985,1
0.008879,0.204606,0.238493,0.510129,0.237744,0.162282,0.051803,0.12864,0.068608,0.822266,0.271792,0.927702,0.119399,0.560907,0.102559,0.013725,1
0.007991,0.986759,0.480383,0.595542,0.640293,0.918567,0.16201,0.095969,0.105078,0.037792,0.243139,0.061006,0.056916,0.501872,0.152217,0.811342,0
0.006116,0.521123,0.622805,0.568586,0.57058,0.771494,0.142695,0.035468,0.129691,0.320203,0.260457,0.237172,0.054632,0.439595,0.131915,0.788377,0
0.007605,0.427776,0.704193,0.596521,0.51055,0.467199,0.124789,0.060942,0.101295,0.401938,0.262436,0.344021,0.064116,0.594513,0.122477,0.688086,0
0.00943,0.412657,0.709211,0.577336,0.482812,0.560918,0.135618,0.067732,0.111035,0.345028,0.222673,0.309142,0.08026,0.512417,0.115622,0.761577,0
0.005939,0.21467,0.446146,0.666896,0.250603,0.258408,0.102531,0.084592,0.109936,0.483971,0.276158,0.541784,0.123518,0.528624,0.101694,0.439437,0
0.009692,0.157361,0.894377,0.033478,0.288345,0.494192,0.124771,0.161221,0.112143,0.747023,0.240137,0.484615,0.120005,0.176607,0.096802,0.718543,0
0.009358,0.25205,0.900043,0.01496,0.252235,0.456621,0.155082,0.079079,0.109829,0.614256,0.220626,0.356358,0.096427,0.50385,0.110481,0.850944,0
0.010917,0.24363,0.942397,0.067734,0.214999,0.344094,0.143519,0.118523,0.085155,0.870772,0.210978,0.68421,0.075567,0.501872,0.103514,0.542689,0
0.004069,0.127673,0.880642,0.072368,0.098374,0.352964,0.124956,0.085844,0.063682,0.706486,0.253859,0.559764,0.071692,0.685258,0.095974,0.674252,0
0.023298,0.268775,0.771094,0.124526,0.284516,0.157162,0.085286,0.112565,0.098412,0.807925,0.22813,0.727949,0.068257,0.517544,0.118272,0.336568,0
0.00659,0.244894,0.670891,0.159061,0.210737,0.267402,0.190825,0.147442,0.079959,0.402062,0.220626,0.263922,0.107487,0.506749,0.116753,0.743025,1
0.005747,0.090018,0.620968,0.233703,0.051435,0.236375,0.172394,0.096414,0.064831,0.551428,0.262436,0.495529,0.083598,0.389359,0.107445,0.62956,1
0.008427,0.111862,0.699751,0.258506,0.132326,0.151741,0.16314,0.102207,0.060938,0.608388,0.270154,0.55526,0.084876,0.402076,0.08441,0.595251,1
0.008221,0.085186,0.821539,0.277488,0.098439,0.176788,0.132753,0.065117,0.03841,0.654644,0.270154,0.595954,0.045785,0.552708,0.077911,0.520066,1
0.004696,0.096,0.624768,0.268284,0.150615,0.221618,0.133891,0.124989,0.04993,0.590751,0.22552,0.561073,0.09935,0.553826,0.080423,0.440154,1
0.008112,0.189033,0.441439,0.528763,0.166452,0.382039,0.143742,0.115081,0.06763,0.280209,0.264151,0.270898,0.060926,0.408258,0.108118,0.724698,0
0.010692,0.446356,0.238007,0.83454,0.236703,0.522728,0.167177,0.111081,0.064099,0.052476,0.260457,0.114075,0.033933,0.609919,0.112155,0.79447,0
0.010781,0.160399,0.333665,0.898882,0.201797,0.36364,0.12751,0.074082,0.088108,0.337273,0.274824,0.403746,0.102182,0.439241,0.093922,0.510795,0
0.006692,0.087697,0.391684,0.6929,0,0.242339,0.102514,0.102821,0.048593,0.491173,0.236707,0.574887,0.135414,0.299049,0.083463,0.300984,0
0.00845,0.223867,0,1,0.053539,0.277722,0.114216,0.147888,0.060434,0.319548,0.25122,0.442975,0.13155,0.389117,0.116693,0.307828,0
0.002438,0.316282,0.612514,0.326893,0.305723,0.575925,0.144151,0.153706,0.059891,0.49984,0.269206,0.348163,0.135516,0.510932,0.081767,0.68673,0
0.010106,0.222293,0.579558,0.368783,0.222559,0.502505,0.140351,0.145999,0.072011,0.449298,0.265652,0.303433,0.124785,0.523407,0.089784,0.769554,0
0.009475,0.267946,0.479032,0.521223,0.223003,0.477569,0.15485,0.104499,0.066334,0.478379,0.241181,0.307936,0.081552,0.452063,0.082678,0.809938,0
0.006779,0.214821,0.478817,0.575873,0.213084,0.525153,0.141357,0.075027,0.081782,0.280827,0.224599,0.251584,0.044636,0.594573,0.089646,0.697845,0
0.002867,0.209798,0.443207,0.491152,0.23112,0.508808,0.115084,0.150491,0.088825,0.434194,0.274824,0.443763,0.085187,0.51288,0.097825,0.524942,0
0.004257,0.340207,0.947658,0.027876,0.359029,0.666009,0.184094,0.088418,0.077354,0.203417,0.258148,0.061752,0.021117,0.399153,0.074616,0.95206,0
0.005858,0.418483,0.655154,0.367695,0.341243,0.650127,0.184873,0.046701,0.079017,0.277471,0.273756,0.107161,0.029651,0.569102,0.083679,1,0
0.0093,0.356021,0.799264,0.240495,0.385206,0.223409,0.171025,0.042548,0.069344,0.345228,0.253859,0.221177,0.02634,0.539096,0.082059,0.852456,0
0.013601,0.207911,0.756987,0.34797,0.25268,0.292801,0.13201,0.037757,0.074747,0.42146,0.259348,0.3091,0.026585,0.267338,0.082606,0.703111,0
0.005842,0.13049,0.702297,0.280104,0.198906,0,0.172576,0.136831,0.050473,0.400876,0.230067,0.316706,0.149169,0.465038,0.121584,0.643528,0
0.004824,0.259497,0.617419,0.159334,0.125899,0.455757,0.187924,0.065854,0.077299,0.121417,0.180103,0.175106,0.079214,0.255859,0.123922,0.756036,0
0.00655,0.249397,0.300681,0.562936,0.170079,0.563229,0.152541,0.143492,0.088917,0.12018,0.234801,0.090684,0.057284,0.567179,0.142909,0.839475,0
0.006976,0.260665,0.506763,0.391987,0.177465,0.395422,0.145157,0.063904,0.080713,0.305114,0.241181,0.258517,0.060824,0.413802,0.114398,0.726148,0
0.005765,0.43615,0.44725,0.323421,0.245802,0.724521,0.207634,0.084912,0.117774,0.19877,0.085549,0.1331,0.077402,0.521489,0.168369,0.832718,0
0.004846,0.53164,0.527035,0.290616,0.299718,0.746361,0.194611,0.077374,0.149826,0.311203,0.157181,0.197611,0.059784,0.326534,0.153443,0.824585,0
0.003518,0.101607,0.618659,0.300374,0.24572,0.456851,0.122499,0.143124,0.112935,0.696568,0.260457,0.526036,0.113397,0.380078,0.123788,0.692593,0
0.003874,0.168836,0.580153,0.434165,0.113011,0.203666,0.108442,0.06222,0.074518,0.567662,0.262436,0.493819,0.050373,0.521106,0.108425,0.59996,0
0.002239,0.112512,0.35512,0.460697,0.107779,0.093403,0.105703,0.065925,0.053924,0.251965,0.273756,0.223084,0.062573,0.34672,0.139175,0.607682,0
0.016246,0.20696,0.606744,0.340849,0.225788,0.290084,0.122428,0.045519,0.105531,0.117049,0.276158,0.051095,0.02682,0.431138,0.140582,0.832175,0
0.010217,0.191882,0.631221,0.317053,0.212158,0.215913,0.135811,0,0.078523,0.267238,0.241181,0.164839,0.018552,0.552381,0.116587,0.820787,0
0.010809,0.278886,0.683767,0.364522,0.237241,0.102369,0.11207,0.045809,0.057783,0.429697,0.277249,0.311631,0.024498,0.613335,0.098249,0.669508,0
0.009694,0.186854,0.501209,0.418676,0.173176,0.172993,0.103869,0.077972,0.065303,0.169374,0.260457,0.149135,0.040045,0.632862,0.104183,0.689464,0
0.009754,0.338992,0.430636,0.389522,0.287116,0.286348,0.116569,0.105277,0.080283,0.309902,0.263323,0.254562,0.108944,0.41565,0.116589,0.687811,0
0.009505,0.403041,0.593519,0.292128,0.337544,0.625516,0.134157,0.091978,0.066874,0.269892,0.241181,0.233098,0.089625,0.27372,0.090537,0.800639,0
0.005396,0.208668,0.699602,0.245803,0.152055,0.338127,0.141131,0.0334,0.05334,0.254682,0.271792,0.172422,0.036317,0.521489,0.068391,0.823872,0
0.012105,0.252482,0.627175,0.337509,0.238603,0.452797,0.117354,0.063116,0.063964,0.538077,0.264926,0.401534,0.082253,0.550684,0.053842,0.633846,0
0.01123,0.269689,0.555339,0.466072,0.285018,0.107293,0.109777,0.044922,0.051021,0.411615,0.270154,0.337751,0.020361,0.509826,0.061538,0.663561,0
0.005705,0.267249,0.60255,0.352103,0.210332,0.193374,0.129271,0.164507,0.030007,0.232716,0.270594,0.280396,0.088036,0.508302,0.062681,0.590285,0
0.084921,0.174941,0.54155,0.229244,0.182034,0.47179,0.12772,0.058685,0.133022,0.294002,0.22552,0.327982,0.087195,0.671742,0.194784,0.62356,1
0.125802,0.397682,0.267873,0.459225,0.317447,0.346607,0.111527,0.052265,0.150861,0.430319,0.216123,0.429209,0.05158,0.380425,0.21416,0.620169,1
0.102401,0.115921,0.52608,0.29966,0.077422,0.315376,0.133462,0.061012,0.114063,0.663023,0.208119,0.632515,0.123992,0.318698,0.14145,0.338152,1
0.113714,0,0.485054,0.382498,0.026844,0.346484,0.109996,0.16398,0.078033,0.516636,0.232748,0.610282,0.1775,0.306325,0.171087,0.310712,1
0.007727,0.32203,0.739193,0.080846,0.499133,0.649544,0.092918,0.087431,0.068976,0.721413,0.243139,0.530898,0.074682,0.380957,0.053471,0.588074,1
0.006838,0.160752,0.75314,0.215596,0.290007,0.448401,0.068851,0.104376,0.089743,0.72818,0.269206,0.463803,0.044624,0.346608,0.082592,0.72986,1
0.007633,0.092339,0.572401,0.390924,0.177159,0.430283,0.101677,0.103957,0.068638,0.644091,0.274824,0.477589,0.103526,0.511483,0.086947,0.67076,1
0.007008,0.175965,0.614341,0.336405,0.19617,0.264255,0.055468,0.094452,0.058962,0.94381,0.273756,0.755302,0.089744,0.409345,0.071818,0.359083,1
0.004926,0.214916,0.610892,0.267502,0.384017,0.057529,0.06521,0.126029,0.038918,0.86555,0.271012,0.87642,0.098101,0.576413,0.065571,0.078335,1
0.013515,0.204773,0.466243,0.130093,0.183503,0.512936,0.054332,0.334802,0.109588,0.635053,0.243139,0.535361,0.272534,0.441989,0.153578,0.509511,1
0.003888,0.152008,0.651456,0.289324,0.148286,0.305381,0.1011,0.116601,0.082264,0.625795,0.248142,0.508222,0.111739,0.208077,0.115512,0.565715,1
0.03178,0.147178,0.478627,0.327281,0.254071,0.411711,0.096548,0.129185,0.100103,0.636851,0.268153,0.493189,0.065655,0.41156,0.128742,0.597457,1
0.008599,0.162116,0.056726,0.590382,0.140712,0.529341,0,0.280004,0.061002,1,0.273756,1,0.24875,0.331896,0.134522,0.089925,1
0.014448,0.23318,0.640319,0.287566,0.136282,0.371175,0.130206,0.169151,0.054518,0.468797,0.253859,0.337651,0.120765,0.45082,0.070585,0.732604,1
0.011222,0.17961,0.569312,0.382168,0.133978,0.134461,0.127188,0.128079,0.039248,0.516721,0.268153,0.452063,0.082703,0.70808,0.069823,0.655082,1
0.009671,0.136821,0.541754,0.516005,0.120943,0.107701,0.147709,0.080631,0.025664,0.325562,0.268694,0.266066,0.060028,0.533744,0.063942,0.68861,1
0.007138,0.232224,0.724798,0.28452,0.19415,0.055649,0.113459,0.017648,0.027803,0.369403,0.260457,0.271284,0.034647,0.650343,0.064969,0.603045,1
0.026031,0.502765,0.651075,0.359281,0.439748,0.339219,0.138103,0.109395,0.06733,0.404393,0.222673,0.206592,0.060447,0.647336,0.108148,0.85064,1
0.015036,0.258959,0.48782,0.591712,0.278089,0.313792,0.102188,0.08266,0.064591,0.410448,0.275744,0.355463,0.06377,0.617684,0.090887,0.650656,1
0.011813,0.407925,0.459007,0.648628,0.357599,0.144886,0.127767,0.061199,0.064638,0.431881,0.266334,0.447379,0.051591,0.500365,0.064084,0.55423,1
0.02488,0.242217,0.660008,0.445351,0.282201,0.349754,0.118828,0.059737,0.118157,0.398263,0.249571,0.312411,0.049326,0.548965,0.154153,0.696291,0
0.022718,0.179937,0.622553,0.548905,0.1832,0.357164,0.116372,0.05586,0.118084,0.402173,0.258959,0.311407,0.030792,0.741635,0.132051,0.638124,0
0.013114,0.255233,0.60638,0.438928,0.282427,0.060849,0.08949,0.048836,0.087849,0.678707,0.276158,0.559736,0.061995,0.649039,0.120257,0.444884,0
0.016558,0.213417,0.547926,0.48265,0.231788,0.078632,0.122513,0.114209,0.082029,0.395586,0.271792,0.429473,0.083548,0.515088,0.126992,0.419022,0
0.049795,0.221396,0.51307,0.495628,0.22985,0.158512,0.103254,0.137719,0.11473,0.58194,0.274311,0.51349,0.104792,0.34672,0.138685,0.518473,0
0.010895,0.448108,0.295571,0.629763,0.311766,0.614753,0.218814,0.073229,0.106827,0,0.250248,0.059871,0.1241,0.566981,0.155607,0.834327,0
0.0081,0.150281,0.273189,0.699034,0.090507,0.3481,0.22895,0.078128,0.078484,0.019401,0.264926,0.192166,0.14877,0.38095,0.148935,0.689813,0
0.013244,0.027231,0.33162,0.744511,0.042134,0.163298,0.207581,0.093115,0.085947,0.32866,0.256842,0.334255,0.112668,0.336137,0.116089,0.687434,0
0.009756,0.241031,0.460945,0.634912,0.283519,0.500638,0.168998,0.055589,0.073595,0.27558,0.236707,0.343543,0.044125,0.568137,0.074646,0.583692,0
0.006537,0.084491,0.502566,0.593064,0.318492,0.508058,0.125787,0.108721,0.10243,0.474138,0.258148,0.520871,0.118643,0.521489,0.062588,0.518805,0
0.016086,0.335716,0.817764,0.153445,0.378992,0.583938,0.127114,0.111099,0.126134,0.476997,0.258148,0.175368,0.118314,0.415729,0.129395,0.874966,0
0.014059,0.420333,0.952402,0.089866,0.413059,0.560534,0.117551,0.120601,0.099082,0.739118,0.248142,0.516447,0.100681,0.250965,0.115545,0.708119,0
0.029713,0.243435,0.74112,0.236943,0.278809,0.142737,0.13771,0.143966,0.074038,0.598765,0.23129,0.469994,0.097714,0.68413,0.117828,0.600103,0
0.008,0.375537,0.645425,0.341068,0.562454,0.5035,0.107727,0.112686,0.130104,0.598606,0.274311,0.597445,0.095986,0.571342,0.078894,0.337274,0
0.011952,0.509011,0.781589,0.055463,0.468322,0.700593,0.165212,0.138763,0.13346,0.616058,0.128073,0.473729,0.109303,0.576413,0.106701,0.647062,0
0.014275,0.745601,0.62595,0.173044,0.752176,0.831272,0.146353,0.164762,0.138131,0.428771,0.206828,0.387218,0.097733,0.560907,0.102524,0.713492,0
0.010711,0.257453,0.661425,0.180294,0.257926,0.347112,0.125414,0.12544,0.076867,0.574743,0.22813,0.547883,0.094752,0.533742,0.082018,0.486534,0
0.007751,0.150501,0.580262,0.226031,0.220035,0.339516,0.177614,0.063216,0.101581,0.356222,0.245788,0.347027,0.063836,0.418383,0.10945,0.621873,0
0.010542,0.244114,0.67512,0.218096,0.251836,0.181155,0.132969,0.082942,0.067986,0.544835,0.253859,0.492096,0.05636,0.521106,0.094286,0.522543,0
0.009949,0.324349,0.477539,0.348009,0.37924,0.667162,0.160675,0.121516,0.086967,0.154757,0.234134,0.035531,0.097848,0.374361,0.122228,0.931058,0
0.008814,0.653099,0.621345,0.300984,0.507454,0.829371,0.160873,0.084153,0.10397,0.275703,0.239046,0.152344,0.09798,0.372418,0.122306,0.862802,0
0.008208,0.370221,0.729174,0.217722,0.277553,0.56443,0.137688,0.082205,0.069992,0.5211,0.20504,0.346524,0.037357,0.217689,0.08963,0.765006,0
0.009018,0.154528,0.837678,0.163439,0.224236,0.348667,0.153339,0.052229,0.061193,0.470243,0.264151,0.321966,0.030631,0.326534,0.077634,0.781373,0
0.00339,0.252491,0.77436,0.122487,0.341529,0.413157,0.141266,0.065957,0.074603,0.542772,0.270154,0.466553,0.081577,0.344872,0.079667,0.640426,0
0.093879,0.164964,0.152426,0.69244,0.2324,0.570859,0.006769,0.17892,0.091636,0.931033,0.270154,0.911131,0.163794,0.451312,0.160695,0,1
0.05445,0.164764,0.48161,0.654348,0.11371,0.203288,0.11253,0.141699,0.094921,0.382811,0.279978,0.408132,0.114704,0.555384,0.151173,0.514824,1
0.022722,0.160446,0.561488,0.623393,0.110184,0.106574,0.100714,0.068582,0.071031,0.501936,0.264151,0.519201,0.091073,0.497459,0.124608,0.413642,1
0.022426,0.283269,0.533097,0.522268,0.211964,0.015719,0.11845,0.055662,0.076865,0.320475,0.264926,0.403258,0.047673,0.567553,0.122874,0.360556,1
0.006396,0.195972,0.668632,0.230436,0.144762,0.176962,0.099648,0.087664,0.062373,0.465229,0.272504,0.514701,0.124335,0.371186,0.112737,0.4602,1
0.016863,0.332211,0.838296,0.198147,0.202937,0.296236,0.115357,0.177084,0.02975,0.576803,0.272504,0.477254,0.096777,0.544106,0.036371,0.572946,1
0.011476,0.052512,0.769913,0.280728,0.000118,0.298618,0.122828,0.089625,0.017283,0.587644,0.279588,0.541067,0.082621,0.612098,0.029951,0.399568,1
0.013294,0.079664,0.676575,0.215535,0.045698,0.162063,0.141116,0.131822,0.015877,0.598066,0.279788,0.579712,0.120913,0.465825,0.04221,0.302696,1
0.031027,0.555891,0.625643,0.258258,0.178359,0.239289,0.205035,0.026315,0.089751,0.248755,0.22552,0.175457,0.016228,0.413802,0.143165,0.818286,1
0.05805,0.729866,0.636948,0.320961,0.244224,0.370416,0.146002,0.013801,0.117804,0.447323,0.22813,0.370703,0,0.501872,0.131558,0.613295,1
0.067997,0.139278,0.548926,0.419608,0.128371,0.275335,0.124059,0.056725,0.112917,0.577959,0.269206,0.631466,0.039337,0.552708,0.126074,0.285479,1
0.12789,0.141825,0.376037,0.388968,0.03209,0.214345,0.102115,0.069182,0.068827,0.446016,0.28016,0.475906,0.172533,0.610664,0.129531,0.293467,1
0,0.326883,0.705607,0.058954,0.313991,0.407848,0.15449,0.065731,0.081019,0.553466,0.264151,0.479399,0.098775,0.41156,0.095553,0.600846,0
0.004841,0.09099,0.717898,0.194696,0.137358,0.310631,0.105121,0.10846,0.052757,0.675541,0.271792,0.636306,0.119808,0.576413,0.074168,0.410711,0
0.006528,0.049675,0.603735,0.284028,0.039908,0.258537,0.126607,0.055372,0.05986,0.381613,0.264151,0.384001,0.078501,0.741012,0.075208,0.450131,0
0.009827,0.306615,0.553968,0.324899,0.24272,0.375631,0.117524,0.068829,0.083686,0.333395,0.263323,0.311472,0.090866,0.414802,0.119273,0.713361,1
0.011199,0.714224,0.643888,0.414443,0.41603,0.623076,0.095957,0.072517,0.073553,0.436594,0.271012,0.27167,0.039877,0.625325,0.119741,0.751609,1
0.01091,0.338241,0.640063,0.322876,0.333198,0.117944,0.11244,0.018196,0.080952,0.501106,0.268153,0.425513,0.021869,0.492448,0.109278,0.611273,1
0.0142,0.375522,0.6993,0.267459,0.342645,0.157991,0.068467,0.095849,0.100728,0.527361,0.275744,0.512905,0.089755,0.386187,0.123168,0.42149,1
0.627986,0.217005,0.609199,0.468407,0.297774,0.622855,0.983211,1,0.687142,0.624471,0.779033,0.664488,0.960118,1,0.91537,0.540278,1
0.693551,0.230536,0.56036,0.508601,0.403525,0.607696,0.973523,0.879573,0.724522,0.655682,0.775943,0.617132,1,0.963833,1,0.654652,1
0.801216,0.124885,0.764678,0.530002,0.318831,0.504615,1,0.801849,0.827649,0.69043,1,0.692152,0.847545,0.920465,0.944899,0.546384,1
1,0.195265,0.742234,0.476742,0.297144,0.432995,0.94378,0.841716,1,0.796915,0.980325,0.749302,0.740395,0.916838,0.899193,0.553856,1
0.829845,0.125718,0.546079,0.511994,0.091618,0.294534,0.996052,0.726384,0.673763,0.698436,0.800457,0.711884,0.790261,0.816335,0.874399,0.571921,1
0.006788,0.192144,0.375356,0.369026,0.116428,0.459574,0.149507,0.145749,0.05589,0.165211,0.232748,0.099276,0.083686,0.389495,0.115935,0.821006,0
0.00479,0.111612,0.425474,0.350721,0.10998,0.396878,0.106653,0.086097,0.071657,0.382198,0.258148,0.336906,0.114464,0.37702,0.103447,0.660747,0
0.004174,0.153165,0.453646,0.495099,0.188707,0.39155,0.096341,0.067806,0.067465,0.251637,0.270154,0.330612,0.045496,0.326534,0.090373,0.550288,0
0.00281,0.137377,0.292089,0.669487,0.120671,0.365928,0.082636,0.116647,0.067368,0.515471,0.274824,0.554015,0.099021,0.533742,0.104334,0.345535,0
0.005428,0.471893,0.665909,0.227834,0.293261,0.655958,0.196892,0.073818,0.065503,0.173374,0.23129,0.137736,0.046178,0.64054,0.09311,0.837962,0
0.005569,0.192398,0.707844,0.3042,0.182435,0.435774,0.150683,0.109959,0.086407,0.49564,0.258148,0.414025,0.093208,0.439595,0.089201,0.69551,0
0.005549,0.215706,0.652264,0.358893,0.238011,0.444855,0.128738,0.13162,0.078795,0.492588,0.275744,0.386038,0.111667,0.548935,0.10099,0.760297,0
0.004169,0.136132,0.671582,0.324598,0.204587,0.316091,0.122182,0.094869,0.091109,0.359894,0.274824,0.266521,0.090835,0.568946,0.104092,0.730332,0
0.000398,0.104611,0.476258,0.401768,0.029398,0.299209,0.107015,0.139459,0.08234,0.49836,0.275744,0.459731,0.101551,0.286859,0.118556,0.561521,0
0.0002,0.485732,0.623285,0.093484,0.311443,0.674034,0.157752,0.084668,0.071614,0.717879,0,0.65363,0.086606,0.399153,0.075804,0.504661,0
0.001761,0.385714,0.345145,0.354441,0.254705,0.71392,0.140078,0.145435,0.085395,0.53332,0.198113,0.496771,0.129988,0.371258,0.099729,0.625295,0
0.002845,0.078337,0.679612,0.232792,0.208518,0.576347,0.100604,0.071219,0.069346,0.601382,0.222673,0.550891,0.080259,0.186345,0.087343,0.581133,0
0.000599,0.202321,0.586443,0.233422,0.192191,0.360456,0.063362,0.126349,0.079371,0.870143,0.189927,0.874408,0.120768,0.227292,0.083569,0.224286,0
0.243103,0.342014,0.820218,0.16509,0.478023,0.744172,0.168896,0.080788,0.171484,0.211419,0.260457,0.141126,0.060747,0.34503,0.209137,0.87715,0
0.064812,0.243428,0.638787,0.341227,0.21208,0.438111,0.149031,0.046755,0.120937,0.383581,0.241181,0.213133,0.048692,0.296245,0.165899,0.848524,0
0.014882,0.229936,0.833208,0.242762,0.287085,0.464512,0.121343,0.044371,0.132004,0.569476,0.258148,0.421005,0.027727,0.380957,0.119255,0.72449,0
0.004712,0.16355,0.531842,0.431605,0.218893,0.379627,0.105979,0.126575,0.09821,0.533404,0.189927,0.44183,0.040854,0.462058,0.126393,0.609186,0
