@relation Dataset_T2_2d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute label {0,1}

@data
0.006788,0.192144,0
0.00479,0.111612,0
0.004174,0.153165,0
0.00281,0.137377,0
0.005428,0.471893,0
0.005569,0.192398,0
0.005549,0.215706,0
0.004169,0.136132,0
0.000398,0.104611,0
0.0002,0.485732,0
0.001761,0.385714,0
0.002845,0.078337,0
0.000599,0.202321,0
0.243103,0.342014,0
0.064812,0.243428,0
0.014882,0.229936,0
0.004712,0.16355,0
