@relation Dataset_T2_40d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute label {0,1}

@data
0.233735,0.786795,0.174452,0.516806,0.456923,0.536371,0.506786,0.418642,0.596657,0.546671,0.817898,0.57471,0.630316,0.339519,0.57259,0.483301,0.252288,0.478156,0.594802,0.485005,0.421725,0.542156,0.343076,0.715423,0.266779,0.444501,0.669417,0.410616,0.467854,0.583766,0.293947,0.596703,0.56768,0.562889,0.700543,0.701327,0.601784,0.628241,0.39277,0.231808,0
0.17248,0.724904,0.118501,0.553102,0.628096,0.396726,0.487388,0.340455,0.667049,0.727671,0.485233,0.472108,0.516429,0.29082,0.787251,0.3202,0.486145,0.408357,0.623323,0.646009,0.300857,0.638465,0.445159,0.468407,0.392883,0.560444,0.55578,0.493826,0.571077,0.592241,0.578049,0.549394,0.527159,0.341706,0.601038,0.466427,0.383499,0.630173,0.251581,0.482758,0
0.229431,0.769685,0.174428,0.539821,0.600818,0.451935,0.60963,0.222967,0.647841,0.911153,0.388158,0.4039,0.562239,0.40448,0.732022,0.372408,0.386771,0.268107,0.703114,0.761098,0.529652,0.616941,0.414054,0.441088,0.327665,0.633902,0.533222,0.673056,0.491852,0.444538,0.429749,0.384834,0.567486,0.361534,0.600497,0.647397,0.449824,0.616125,0.025775,0.64426,0
0.384318,0.914972,0.332757,0.380545,0.455179,0.745663,0.443673,0.183177,0.667499,0.652262,0.459221,0.821593,0.666202,0.452716,0.599133,0.439149,0.793958,0.68145,0.736687,0.192755,0.296314,0.521163,0.185793,0.518214,0.587492,0.432521,0.623306,0.522196,0.3591,0.501385,0.355011,0.590771,0.649061,0.444488,0.785004,0.648709,0.491112,0.732144,0.61456,0.459917,0
0.365763,0.906801,0.426121,0.318468,0.491103,0.760387,0.472225,0.210554,0.666245,0.605387,0.703637,0.627051,0.6947,0.216458,0.638464,0.32617,0.387512,0.534867,0.493367,0.413586,0.429497,0.289724,0.371823,0.671798,0.409814,0.770805,0.564864,0.572392,0.412841,0.677769,0.391103,0.402621,0.662266,0.471912,0.64844,0.355726,0.586634,0.760645,0.597138,0.424282,0
0.293488,0.850274,0.369179,0.272999,0.636323,0.609718,0.386141,0.335645,0.546808,0.77625,0.766729,0.503064,0.551253,0.345424,0.726968,0.482098,0.501925,0.236445,0.447564,0.402897,0.743556,0.170671,0.839953,0.583838,0.603956,0.828695,0.472942,0.571694,0.501346,0.759687,0.440599,0.334649,0.631862,0.54371,0.913869,0.282761,0.752959,0.908937,0.438121,0.560396,0
0.200471,0.754002,0.289316,0.343861,0.550577,0.281094,0.510842,0.675799,0.573118,0.784407,0.781624,0.490204,0.774783,0.450086,0.522054,0.459379,0.616825,0.675067,0.784655,0.546616,0.765009,0.613228,0.622843,0.478462,0.418622,0.709733,0.580862,0.452664,0.373069,0.751238,0.319885,0.440431,0.581967,0.62843,0.429912,0.530325,0.405754,0.479526,0.464539,0.712428,0
0.222313,0.739753,0.416223,0.210167,0.661704,0.461745,0.546744,0.468148,0.637651,0.708259,0.616356,0.500339,0.697826,0.402762,0.767688,0.2153,0.507123,0.584166,0.778494,0.566179,0.603199,0.492288,0.759644,0.462549,0.483311,0.429627,0.569534,0.462916,0.217068,0.502482,0.605649,0.683203,0.553516,0.36847,0.772689,0.78759,0.651518,0.422683,0.376987,0.216165,0
0.259594,0.666396,0.297072,0.458261,0.358765,0.664287,0.866163,0.433524,0.682896,0.980161,0.524928,0.42459,0.572093,0.240877,0.812054,0.554859,0.431361,0.594763,0.691307,0.781857,0.218303,0.409437,0.568358,0.529379,0.501155,0.721391,0.633409,0.470552,0.44238,0.600816,0.140838,0.58678,0.614585,0.539126,0.658683,0.859531,0.534446,0.439188,0.65665,0.484194,1
0.206411,0.673262,0.174518,0.525822,0.420936,0.619621,0.698024,0.411152,0.695609,0.626299,0.670607,0.41162,0.674565,0.397025,0.646832,0.285435,0.764556,0.507677,0.590026,0.830849,0.368591,0.619895,0.417643,0.613175,0.313549,0.641837,0.639718,0.477413,0.316834,0.746309,0.469489,0.888723,0.614422,0.471531,0.646649,0.294489,0.307853,0.719456,0.648753,0.718295,1
0.148319,0.567114,0.284792,0.407687,0.390227,0.49156,0.729735,0.413026,0.785083,0.588967,0.710321,0.427963,0.452385,0.379392,0.771538,0.436674,0.520845,0.531232,0.593143,0.625433,0.522741,0.620305,0.501992,0.883678,0.326626,0.604011,0.506442,0.549014,0.262553,0.724489,0.420439,0.634403,0.752633,0.464525,0.751746,0.671594,0.822704,0.595516,0.495138,0.664765,1
